Date,Open,High,Low,Close,Volume
2023/01/01,0,0,0,799.2,1000
2023/01/02,0,0,0,801.11,1000
2023/01/03,0,0,0,798.56,1000
2023/01/04,0,0,0,802.06,1000
2023/01/05,0,0,0,811.98,1000
2023/01/06,0,0,0,820.78,1000
2023/01/07,0,0,0,819.17,1000
2023/01/08,0,0,0,815.61,1000
2023/01/09,0,0,0,809.86,1000
2023/01/10,0,0,0,797.58,1000
2023/01/11,0,0,0,807.3,1000
2023/01/12,0,0,0,812.15,1000
2023/01/13,0,0,0,825.47,1000
2023/01/14,0,0,0,822.87,1000
2023/01/15,0,0,0,818.03,1000
2023/01/16,0,0,0,823.83,1000
2023/01/17,0,0,0,813.36,1000
2023/01/18,0,0,0,804.71,1000
2023/01/19,0,0,0,812.86,1000
2023/01/20,0,0,0,813.75,1000
2023/01/21,0,0,0,799.33,1000
2023/01/22,0,0,0,792.17,1000
2023/01/23,0,0,0,779.17,1000
2023/01/24,0,0,0,786.78,1000
2023/01/25,0,0,0,776.86,1000
2023/01/26,0,0,0,783.23,1000
2023/01/27,0,0,0,782.56,1000
2023/01/28,0,0,0,779.94,1000
2023/01/29,0,0,0,792.72,1000
2023/01/30,0,0,0,807.23,1000
2023/01/31,0,0,0,815.41,1000
2023/02/01,0,0,0,802.52,1000
2023/02/02,0,0,0,787.18,1000
2023/02/03,0,0,0,777.19,1000
2023/02/04,0,0,0,775.68,1000
2023/02/05,0,0,0,777.91,1000
2023/02/06,0,0,0,772.92,1000
2023/02/07,0,0,0,765.33,1000
2023/02/08,0,0,0,758.78,1000
2023/02/09,0,0,0,761.76,1000
2023/02/10,0,0,0,772.92,1000
2023/02/11,0,0,0,770.84,1000
2023/02/12,0,0,0,759.75,1000
2023/02/13,0,0,0,754.01,1000
2023/02/14,0,0,0,757.23,1000
2023/02/15,0,0,0,769.17,1000
2023/02/16,0,0,0,779.67,1000
2023/02/17,0,0,0,783.33,1000
2023/02/18,0,0,0,773.22,1000
2023/02/19,0,0,0,778.5,1000
2023/02/20,0,0,0,790.06,1000
