Current,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
公司代碼,年月日,M0000 特殊 %,M1100 水泥工業 %,M1200 食品工業 %,M1300 塑膠工業 %,M1400 紡織纖維 %,M1500 電機機械 %,M1600 電器電纜 %,M1700 化學生技醫療 %,M1721 化學工業 %,M1722 生技醫療業 %,M1800 玻璃陶瓷 %,M1900 造紙工業 %,M2000 鋼鐵工業 %,M2100 橡膠工業 %,M2200 汽車工業 %,M2300 電子工業 %,M2324 半導體業 %,M2325 電腦及週邊設備業 %,M2326 光電業 %,M2327 通訊網路業 %
0012 元大多元基金,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0050 元大台灣50,2025/11/28,0,0,0.66,0.81,0,0,0,0.26,0,0.26,0,0,0.36,0,0.3,86.58,68.76,5.43,0.37,2.3
0051 元大中型100,2025/11/28,0,2.94,0.56,1.36,2.93,6.42,1.01,3.51,0.69,2.82,0.43,0,1.25,0.73,0.87,62.06,14.58,8.99,3.14,1.13
0052 富邦科技,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.46,79.74,7.55,0.93,0
0053 元大電子,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.25,65.62,8.07,1.46,3.7
0054 元大台商50,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0055 元大MSCI金融,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0056 元大高股息,2025/11/28,0,1.28,3.15,0,0.82,1.77,0,0,0,0,0,0,1.31,1.08,0.55,60.98,21.25,25.13,0.52,0.48
0057 富邦摩台,2025/11/28,0,0.39,0.59,0.92,0.28,0.54,0,0.5,0,0.5,0,0,0.34,0.09,0.3,83.71,63.77,5.64,0.51,2.16
0058 富邦發達,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0059 富邦金融,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0060 新台灣,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0061 元大寶滬深,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
006201 元大富櫃50,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
006203 元大MSCI台灣,2025/11/28,0,0.39,0.58,0.91,0.27,0.48,0,0.48,0,0.48,0,0,0.34,0.09,0.32,83.18,63.71,5.68,0.52,2.15
006204 永豐臺灣加權,2025/11/28,0,0.4,0.81,3.77,0.52,1.04,0.2,0.4,0.23,0.17,0.14,0.11,0.81,0.21,0.8,74.29,48.71,6.91,0.93,3.35
006205 富邦上証,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
006206 元大上證50,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
006207 復華滬深,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
006208 富邦台50,2025/11/28,0,0,0.66,0.82,0,0,0,0.27,0,0.27,0,0,0.36,0,0.3,86.63,68.82,5.41,0.37,2.3
00625K 富邦上証+R,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00636 國泰中國A50,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00636K 國富中A50+U,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00639 富邦深100,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00643 群益深証中小,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00643K 群益深証中小+R,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00645 富邦日本,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00646 元大S&P500,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00649 FH香港,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00652 富邦印度,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00657 國泰日經225,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00657K 國泰日經225+U,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00660 元大歐洲50,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00661 元大日經225,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00662 富邦NASDAQ,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00667 元大韓國,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00668 國泰美國道瓊,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00668K 國泰美國道瓊+U,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00678 群益那斯達克生技,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00690 兆豐臺灣藍籌30,2025/11/28,0,0.58,0,0,0.62,0.71,0,0,0,0,0,0,0,0,0,88.02,54.08,5.42,1.38,7.68
00692 富邦公司治理,2025/11/28,0,0.47,0,0,0.52,0.38,0.05,0.19,0.06,0.13,0,0,0.15,0.02,0.62,83.45,63.07,6.13,0.08,2.63
00700 富邦恆生國企,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00701 國泰股利精選30,2025/11/28,0,1.13,4.16,0,1.24,0,0,0,0,0,0,0,0,0,0,22.79,8.68,0,0,12.7
00702 國泰標普低波高息,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00703 台新MSCI中國,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
