Current,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
基金碼,日期,基金淨資產 (千元),A1  投資國內上市股票比例,A2  投資國內台灣存託憑證,A3  投資國內基金比例,A4  投資國內上櫃股票比例,A5  投資國內買斷債券比例,A6  投資國內RP比例,A7  國內資產證券化商品,A8  投資國內其他有價證券,A0  投資國內有價證券比例,B1  國內短期投資-短票,B2  國內短期投資-其他,B3  短期投資-一般存款,B4  短期投資-短期票券-RP,B0  國內短期投資小計,A+B 投資國內合計,C1  投資日本比例,C2  投資紐澳比例,C3  投資國外其他區域比例,C4  投資北美比例
0002 第一金福元,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0012 元大多元基金,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0026 聯博概念,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0050 元大台灣50,2025/10,"879,735,383",99.56,0,0,0,0,0.45,0,0,100.01,0,0,0.29,0,0.29,100.3,0,0,0,0
0051 元大中型100,2025/10,"2,102,882",96.4,0,0,0,0,0,0,0,96.4,0,0,5.43,0,5.43,101.83,0,0,0,0
0052 富邦科技,2025/10,"24,562,430",99.62,0,0,0,0,0,0,0,99.62,0,0,2.98,0,2.98,102.6,0,0,0,0
0053 元大電子,2025/10,"706,010",95.05,0,0,0,0,0,0,0,95.05,0,0,2.29,0,2.29,97.34,0,0,0,0
0054 元大台商50,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0055 元大MSCI金融,2025/10,"2,451,822",96.69,0,0,0,0,2.04,0,0,98.73,0,0,0.28,0,0.28,99.01,0,0,0,0
0056 元大高股息,2025/10,"516,503,542",98.67,0,0,0,0,2.07,0,0,100.74,0,0,2.02,0,2.02,102.76,0,0,0,0
0057 富邦摩台,2025/10,"286,363",98.4,0,0,1.11,0,0,0,0,99.51,0,0,0.16,0,0.16,99.67,0,0,0,0
0058 富邦發達,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0059 富邦金融,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0060 新台灣,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0061 元大寶滬深,2025/10,"2,845,928",0,0,0,0,0,0,0,0,0,0,0,1.3,0,1.3,1.3,0,0,0,0
006201 元大富櫃50,2025/10,"422,628",0,0,0,94.35,0,0,0,0,94.35,0,0,5.36,0,5.36,99.71,0,0,0,0
006202 寶富盈,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
006203 元大MSCI台灣,2025/10,"1,188,621",97.59,0,0,1.12,0,0,0,0,98.71,0,0,0.59,0,0.59,99.3,0,0,0,0
006204 永豐臺灣加權,2025/10,"212,789",99.07,0,0,0,0,0,0,0,99.07,0,0,3.12,0,3.12,102.19,0,0,0,0
006205 富邦上証,2025/10,"4,714,174",0,0,0,0,0,0,0,0,0,0,0,2.91,0,2.91,2.91,0,0,0,0
006206 元大上證50,2025/10,"1,281,404",0,0,0,0,0,0,0,0,0,0,0,1.68,0,1.68,1.68,0,0,0,0
006207 復華滬深,2025/10,"798,774",0,0,0,0,0,0,0,0,0,0,0,5.43,0,5.43,5.43,0,0,0,0
006208 富邦台50,2025/10,"286,126,965",99.6,0,0,0,0,0.26,0,0,99.86,0,0,0.05,0,0.05,99.91,0,0,0,0
00625K 富邦上証+R,2025/10,-,0,0,0,0,0,0,0,0,0,0,0,2.91,0,2.91,2.91,0,0,0,0
00631L 元大台灣50正2,2025/10,"35,686,956",0,0,0,0,0,27.77,0,0,27.77,0,0,16.34,0,16.34,44.11,0,0,0,0
00632R 元大台灣50反1,2025/10,"32,996,366",0,0,0,0,0,74.54,0,0,74.54,0,0,4.62,0,4.62,79.16,0,0,0,0
00633L 富邦上証正2,2025/10,"9,374,683",0,0,4.53,0,0,4.28,0,0,8.81,0,0,5.65,0,5.65,14.46,0,0,0,0
00634R 富邦上証反1,2025/10,"153,713",0,0,0,0,0,55.08,0,0,55.08,0,0,14.69,0,14.69,69.77,0,0,0,0
00636 國泰中國A50,2025/10,"4,027,755",0,0,0,0,0,0,0,0,0,0,0,5.93,0,5.93,5.93,0,0,0,0
00636K 國富中A50+U,2025/10,-,0,0,0,0,0,0,0,0,0,0,0,5.93,0,5.93,5.93,0,0,0,0
00637L 元大滬深300正2,2025/10,"25,111,726",0,0,0.95,0,0,19.34,0,0,20.29,0,0,17.89,0,17.89,38.18,0,0,0,0
00638R 元大滬深300反1,2025/10,"242,908",0,0,0,0,0,45.28,0,0,45.28,0,0,4.36,0,4.36,49.64,0,0,0,0
00639 富邦深100,2025/10,"2,320,662",0,0,0,0,0,0,0,0,0,0,0,2.64,0,2.64,2.64,0,0,0,0
00640L 富邦日本正2,2025/10,"811,766",0,0,8.02,0,0,12.32,0,0,20.34,0,0,22.79,0,22.79,43.13,0,0,0,0
00641R 富邦日本反1,2025/10,"307,276",0,0,0,0,0,36.35,0,0,36.35,0,0,21.01,0,21.01,57.36,0,0,0,0
00643 群益深証中小,2025/10,"1,715,346",0,0,0,0,0,2.04,0,0,2.04,0,0,1.79,0,1.79,3.83,0,0,0,0
00643K 群益深証中小+R,2025/10,-,0,0,0,0,0,2.04,0,0,2.04,0,0,1.79,0,1.79,3.83,0,0,0,0
00645 富邦日本,2025/10,"2,350,877",0,0,0,0,0,0,0,0,0,0,0,5.68,0,5.68,5.68,83.85,0,0,0
00646 元大S&P500,2025/10,"33,119,701",0,0,0,0,0,0,0,0,0,0,0,0.61,0,0.61,0.61,0,0,0,97.85
00647L 元大S&P500正2,2025/10,"862,058",0,0,0,0,0,0,0,0,0,0,0,10.21,0,10.21,10.21,0,0,0,0
00648R 元大S&P500反1,2025/10,"775,284",0,0,0,0,0,61.91,0,0,61.91,0,0,2.59,0,2.59,64.5,0,0,0,0
00649 FH香港,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00650L 復華香港正 2,2025/10,"2,934,273",0,0,0,0,0,0,0,0,0,0,0,40.08,0,40.08,40.08,0,0,0,0
00651R 復華香港反 1,2025/10,"200,137",0,0,0,0,0,0,0,0,0,0,0,38.82,0,38.82,38.82,0,0,0,0
00652 富邦印度,2025/10,"3,534,865",0,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,1.07,0,0,0,0
00653L 富邦印度正2,2025/10,"1,097,539",0,0,0.1,0,0,34.19,0,0,34.29,0,0,13.87,0,13.87,48.16,0,0,0,0
00654R 富邦印度反1,2025/10,"118,337",0,0,0.89,0,0,58.09,0,0,58.98,0,0,10.13,0,10.13,69.11,0,0,0,0
00655L 國泰中國A50正2,2025/10,"3,378,437",0,0,4.65,0,0,5.92,0,0,10.57,0,0,2.24,0,2.24,12.81,0,0,0,0
00656R 國泰中國A50反1,2025/10,"123,695",0,0,0,0,0,40.42,0,0,40.42,0,0,19.32,0,19.32,59.74,0,0,0,0
00657 國泰日經225,2025/10,"406,283",0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0.06,91,0,0,0
00657K 國泰日經225+U,2025/10,-,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0.06,91,0,0,0
00658L 國泰日本正2,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00659R 國泰日本反1,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00660 元大歐洲50,2025/10,"331,169",0,0,0,0,0,0,0,0,0,0,0,1.36,0,1.36,1.36,0,0,0,0
00661 元大日經225,2025/10,"1,509,806",0,0,0,0,0,0,0,0,0,0,0,1.25,0,1.25,1.25,91.93,0,0,0
00662 富邦NASDAQ,2025/10,"62,243,913",0,0,0,0,0,0,0,0,0,0,0,0.89,0,0.89,0.89,0,0,0,98.81
00663L 國泰臺灣加權正2,2025/10,"3,572,934",0,0,0,0,0,8.4,0,0,8.4,0,0,40.82,0,40.82,49.22,0,0,0,0
00664R 國泰臺灣加權反1,2025/10,"2,023,510",0,0,0,0,0,50.9,0,0,50.9,0,0,33.74,0,33.74,84.64,0,0,0,0
00665L 富邦恆生國企正2,2025/10,"5,706,619",0,0,17.89,0,0,5.26,0,0,23.15,0,0,16.7,0,16.7,39.85,0,0,0,0
00666R 富邦恆生國企反1,2025/10,"127,886",0,0,0,0,0,54.85,0,0,54.85,0,0,15.03,0,15.03,69.88,0,0,0,0
00667 元大韓國,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00668 國泰美國道瓊,2025/10,"482,895",0,0,0,0,0,0,0,0,0,0,0,1.39,0,1.39,1.39,0,0,0,95.56
00668K 國泰美國道瓊+U,2025/10,-,0,0,0,0,0,0,0,0,0,0,0,1.39,0,1.39,1.39,0,0,0,95.56
