Current,,,,,
,,,,,
基金名稱,年月,投資股數,投資比率％,持股數/流通在外股數%,個股月報酬率％
000116 日盛證券,2025/09,-,-,-,-
0002 第一金福元,2025/09,-,-,-,-
0003 匯豐成長,2025/09,-,-,-,-
0006 荷銀鴻福,2025/09,-,-,-,-
000930 華南永昌證券,2025/09,-,-,-,-
000960 富邦證券,2025/09,-,-,-,-
0009A0 永豐金證券,2025/09,-,-,-,-
0011 景順和信,2025/09,-,-,-,-
0012 元大多元,2025/09,-,-,-,-
0016 保誠先鋒,2025/09,-,-,-,-
0019 萬國鑽石,2025/09,-,-,-,-
0020 保德信元富,2025/09,-,-,-,-
0024 保誠元滿,2025/09,-,-,-,-
0050 元大台灣50,2025/09,"524,078",0.72,4.14,10.1
0051 元大中型100,2025/09,-,-,-,-
0052 富邦科技,2025/09,"4,954",0.03,7.62,10.63
0053 元大電子,2025/09,-,-,-,-
0054 元大台商50,2025/09,-,-,-,-
0055 元大MSCI金融,2025/09,-,-,-,-
0056 元大高股息,2025/09,"88,957",0.08,0.65,5.17
0057 富邦摩台,2025/09,-,-,-,-
0060 新台灣,2025/09,-,-,-,-
0061 元大寶滬深,2025/09,-,-,-,-
006201 元大富櫃50,2025/09,"6,434",0,36.88,4.21
006205 富邦上証,2025/09,-,-,-,-
006206 元大上證50,2025/09,-,-,-,-
006207 復華滬深,2025/09,-,-,-,-
006208 富邦台50,2025/09,"5,428",0.02,0.28,9.82
00631L 元大台灣50正2,2025/09,20,0,0.02,14.44
00632R 元大台灣50反1,2025/09,-,-,-,-
00633L 富邦上証正2,2025/09,-,-,-,-
00634R 富邦上証反1,2025/09,-,-,-,-
00637L 元大滬深300 正2,2025/09,-,-,-,-
00639 富邦深100,2025/09,-,-,-,-
00663L 國泰臺灣加權正2,2025/09,-,-,-,-
00679B 元大美債20年,2025/09,-,-,-,-
00690 兆豐臺灣藍籌30,2025/09,-,-,-,-
00692 富邦公司治理,2025/09,-,-,-,-
00694B 富邦美債1-3,2025/09,-,-,-,-
00701 國泰股利精選30,2025/09,450,0,0.19,2.76
00710B 復華彭博非投等債,2025/09,-,-,-,-
00713 元大台灣高息低波,2025/09,"19,538",0.02,0.67,1.82
00717 富邦美國特別股,2025/09,-,-,-,-
00719B 元大美債1-3,2025/09,-,-,-,-
00720B 元大投資級公司債,2025/09,-,-,-,-
00721B 元大中國債3-5,2025/09,-,-,-,-
00722B 群益投資級電信債,2025/09,-,-,-,-
00725B 國泰投資級公司債,2025/09,-,-,-,-
00727B 國泰優選非投等債,2025/09,-,-,-,-
00730 富邦臺灣優質高息,2025/09,-,-,-,-
00731 復華富時高息低波,2025/09,190,0,0.42,3.48
00733 富邦臺灣中小,2025/09,-,-,-,-
00740B 富邦全球投等債,2025/09,-,-,-,-
00749B 凱基新興債10+,2025/09,-,-,-,-
00751B 元大AAA至A公司債,2025/09,"21,500",0.02,0.45,2.97
00760B 復華新興企業債,2025/09,-,-,-,-
00771 元大US高息特別股,2025/09,-,-,-,-
00777B 凱基AAA至A公司債,2025/09,-,-,-,-
00780B 國泰A 級金融債,2025/09,-,-,-,-
00786B 元大10年IG銀行債,2025/09,-,-,-,-
00788B 元大10年IG電能債,2025/09,-,-,-,-
00839B 凱基醫療保健債,2025/09,-,-,-,-
00840B 凱基IG精選15+,2025/09,-,-,-,-
00841B 凱基AAA-AA公司債,2025/09,-,-,-,-
00850 元大臺灣ESG永續,2025/09,"6,913",0.01,1.49,7.26
00870B 元大15年EM主權債,2025/09,-,-,-,-
00878 國泰永續高股息,2025/09,900,0,0,4.96
00892 富邦台灣半導體,2025/09,-,-,-,-
00915 凱基優選高股息30,2025/09,500,0,0.04,2.87
00929 復華台灣科技優息,2025/09,-,-,-,-
00945B 凱基美國非投等債,2025/09,"36,974",0.01,3.64,0.93
00953B 群益優選非投等債,2025/09,"50,983",0.01,1.29,0.64
01001T 土銀富邦R1,2025/09,-,-,-,-
01002T 土銀國泰R1,2025/09,-,-,-,-
01003T 兆豐新光R1,2025/09,-,-,-,-
01004T 土銀富邦R2,2025/09,-,-,-,-
01005T 三鼎,2025/09,-,-,-,-
01006T 基泰SR,2025/09,-,-,-,-
01007T 兆豐國泰R2,2025/09,-,-,-,-
01008T 駿馬R1,2025/09,-,-,-,-
1101 台泥,2025/09,"30,142",0.02,0.4,6.9
1101A 台泥特,2025/09,-,-,-,-
1101B 台泥乙特,2025/09,-,-,-,-
1102 亞泥,2025/09,"275,055",0.25,7.76,2.97
1103 嘉泥,2025/09,-,-,-,-
1104 環泥,2025/09,0,0,0,3.72
1107 建台,2025/09,-,-,-,-
1108 幸福,2025/09,-,-,-,-
1109 信大,2025/09,-,-,-,-
1110 東泥,2025/09,-,-,-,-
1201 味全,2025/09,-,-,-,-
1203 味王,2025/09,-,-,-,-
1204 津津,2025/09,-,-,-,-
1206 台鳳,2025/09,-,-,-,-
1207 嘉食化,2025/09,-,-,-,-
1209 益華,2025/09,-,-,-,-
1210 大成,2025/09,"35,517",0.04,3.97,-2.45
1212 中日,2025/09,-,-,-,-
1213 大飲,2025/09,-,-,-,-
1215 卜蜂,2025/09,"12,099",0.04,4.1,5.64
1216 統一,2025/09,"520,758",0.98,9.17,1.29
1217 愛之味,2025/09,-,-,-,-
1218 泰山,2025/09,-,-,-,-
1219 福壽,2025/09,-,-,-,-
1220 台榮,2025/09,-,-,-,-
1221 久津,2025/09,-,-,-,-
1222 源益,2025/09,-,-,-,-
1224 惠勝,2025/09,-,-,-,-
1225 福懋油,2025/09,-,-,-,-
1227 佳格,2025/09,3,0,0,0.17
1228 臺芳,2025/09,-,-,-,-
1229 聯華,2025/09,768,0,0.04,-1.81
1230 聯成食品,2025/09,-,-,-,-
1231 聯華食,2025/09,-,-,-,-
1232 大統益,2025/09,12,0,0.01,-1.01
1233 天仁,2025/09,-,-,-,-
1234 黑松,2025/09,-,-,-,-
1235 興泰,2025/09,-,-,-,-
1236 宏亞,2025/09,-,-,-,-
1256 鮮活果汁-KY,2025/09,-,-,-,-
1259 安心,2025/09,-,-,-,-
1262 綠悅-KY,2025/09,-,-,-,-
1264 德麥,2025/09,-,-,-,-
1268 漢來美食,2025/09,-,-,-,-
1295 生合,2025/09,190,0,0.55,-10.95
1301 台塑,2025/09,"80,117",0.07,1.26,-1.03
1303 南亞,2025/09,"118,050",0.11,1.49,-8.68
1304 台聚,2025/09,-,-,-,-
1305 華夏,2025/09,-,-,-,-
1306 合發,2025/09,-,-,-,-
1307 三芳,2025/09,"2,610",0,0.66,-3.67
1308 亞聚,2025/09,-,-,-,-
1309 台達化,2025/09,-,-,-,-
1310 台苯,2025/09,-,-,-,-
1311 福聚,2025/09,-,-,-,-
1312 國喬,2025/09,-,-,-,-
1312A 國喬特,2025/09,-,-,-,-
1313 聯成,2025/09,-,-,-,-
1314 中石化,2025/09,11,0,0,1.96
1315 達新,2025/09,-,-,-,-
1316 上曜,2025/09,-,-,-,-
1319 東陽,2025/09,"55,586",0.13,9.4,-7.98
1321 大洋,2025/09,-,-,-,-
1323 永裕,2025/09,-,-,-,-
1324 地球,2025/09,-,-,-,-
1325 恒大,2025/09,-,-,-,-
1326 台化,2025/09,"2,884",0,0.05,-1.16
1333 恩得利,2025/09,-,-,-,-
1336 台翰,2025/09,-,-,-,-
1337 再生-KY,2025/09,-,-,-,-
1338 廣華-KY,2025/09,-,-,-,-
1339 昭輝,2025/09,-,-,-,-
1340 勝悅-KY,2025/09,-,-,-,-
1342 八貫,2025/09,241,0,0.3,-3.91
1402 遠東新,2025/09,"345,605",0.23,6.46,0.72
1407 華隆,2025/09,-,-,-,-
1408 中紡,2025/09,-,-,-,-
1409 新纖,2025/09,-,-,-,-
1409A 新纖特,2025/09,-,-,-,-
1410 南染,2025/09,-,-,-,-
1413 宏洲,2025/09,-,-,-,-
1414 東和,2025/09,-,-,-,-
1416 廣豐,2025/09,-,-,-,-
1417 嘉裕,2025/09,-,-,-,-
1418 東華,2025/09,-,-,-,-
1419 新紡,2025/09,-,-,-,-
1423 利華,2025/09,-,-,-,-
1425 福昌,2025/09,-,-,-,-
1431 新燕,2025/09,-,-,-,-
1432 大魯閣,2025/09,-,-,-,-
1434 福懋,2025/09,"5,815",0,0.35,-3.49
1435 中福,2025/09,-,-,-,-
1436 華友聯,2025/09,-,-,-,-
1437 勤益控,2025/09,-,-,-,-
1438 三地開發,2025/09,-,-,-,-
1439 雋揚,2025/09,-,-,-,-
1440 南紡,2025/09,-,-,-,-
1441 大東,2025/09,-,-,-,-
1442 名軒,2025/09,"31,235",0.03,8.53,-15.77
1443 立益物流,2025/09,-,-,-,-
1444 力麗,2025/09,-,-,-,-
1444A 力甲特,2025/09,-,-,-,-
1445 大宇,2025/09,-,-,-,-
1446 宏和,2025/09,-,-,-,-
1447 力鵬,2025/09,-,-,-,-
1449 佳和,2025/09,-,-,-,-
1449A 佳甲特,2025/09,-,-,-,-
1450 新藝,2025/09,-,-,-,-
1451 年興,2025/09,-,-,-,-
1452 宏益,2025/09,-,-,-,-
1453 大將,2025/09,-,-,-,-
1454 台富,2025/09,-,-,-,-
1455 集盛,2025/09,-,-,-,-
1456 怡華,2025/09,-,-,-,-
1457 宜進,2025/09,-,-,-,-
1458 嘉畜,2025/09,-,-,-,-
1459 聯發,2025/09,-,-,-,-
1460 宏遠,2025/09,-,-,-,-
1462 東雲,2025/09,-,-,-,-
1463 強盛新,2025/09,-,-,-,-
1464 得力,2025/09,-,-,-,-
1465 偉全,2025/09,-,-,-,-
1466 聚隆,2025/09,-,-,-,-
1467 南緯,2025/09,-,-,-,-
1468 昶和,2025/09,-,-,-,-
1469 理隆,2025/09,-,-,-,-
1470 大統新創,2025/09,-,-,-,-
1471 首利,2025/09,-,-,-,-
1472 三洋實業,2025/09,-,-,-,-
1473 台南,2025/09,-,-,-,-
1474 弘裕,2025/09,-,-,-,-
1475 業旺,2025/09,-,-,-,-
1476 儒鴻,2025/09,"5,556",0.06,2.03,9.35
1477 聚陽,2025/09,"45,990",0.32,18.64,8.01
1503 士電,2025/09,"1,376",0.01,0.26,-9.23
1504 東元,2025/09,"175,611",0.4,7.39,39.85
1505 楊鐵,2025/09,-,-,-,-
1506 正道,2025/09,-,-,-,-
1507 永大,2025/09,-,-,-,-
1510 台安,2025/09,-,-,-,-
1512 瑞利,2025/09,-,-,-,-
1513 中興電,2025/09,"5,536",0.02,1.1,-9.33
1514 亞力,2025/09,536,0,0.2,-6.44
1515 力山,2025/09,-,-,-,-
1516 川飛,2025/09,-,-,-,-
1517 利奇,2025/09,-,-,-,-
1519 華城,2025/09,"2,852",0.04,0.9,-10.2
1520 復盛,2025/09,-,-,-,-
1521 大億,2025/09,-,-,-,-
1522 堤維西,2025/09,"2,581",0,0.82,1.94
1523 開億,2025/09,-,-,-,-
1524 耿鼎,2025/09,-,-,-,-
1525 江申,2025/09,-,-,-,-
1526 日馳,2025/09,-,-,-,-
1527 鑽全,2025/09,-,-,-,-
1528 恩德,2025/09,-,-,-,-
1529 樂事綠能,2025/09,-,-,-,-
1530 亞崴,2025/09,-,-,-,-
1531 高林股,2025/09,-,-,-,-
1532 勤美,2025/09,"4,036",0,0.96,11.22
1533 車王電,2025/09,-,-,-,-
1534 新企,2025/09,-,-,-,-
1535 中宇,2025/09,-,-,-,-
1536 和大,2025/09,"3,485",0.01,1.25,-8.41
1537 廣隆,2025/09,89,0,0.11,-1.15
1538 正峰,2025/09,-,-,-,-
1539 巨庭,2025/09,-,-,-,-
1540 喬福,2025/09,-,-,-,-
1541 錩泰,2025/09,-,-,-,-
1558 伸興,2025/09,121,0,0.18,-6.32
1560 中砂,2025/09,"8,070",0.07,5.49,-3.87
1565 精華,2025/09,-,-,-,-
1568 倉佑,2025/09,-,-,-,-
1569 濱川,2025/09,-,-,-,-
1570 力肯,2025/09,-,-,-,-
1580 新麥,2025/09,-,-,-,-
1582 信錦,2025/09,814,0,0.56,-1.69
1583 程泰,2025/09,-,-,-,-
1584 精剛,2025/09,-,-,-,-
1586 和勤,2025/09,-,-,-,-
1589 永冠-KY,2025/09,-,-,-,-
1590 亞德客-KY,2025/09,777,0.01,0.39,-2.07
1591 駿吉-KY,2025/09,-,-,-,-
1592 英瑞-KY,2025/09,-,-,-,-
1593 祺驊,2025/09,-,-,-,-
1597 直得,2025/09,-,-,-,-
1598 岱宇,2025/09,-,-,-,-
1599 宏佳騰,2025/09,-,-,-,-
1601 台光,2025/09,-,-,-,-
1602 太電,2025/09,-,-,-,-
1603 華電,2025/09,-,-,-,-
1603A 華電特,2025/09,-,-,-,-
1604 聲寶,2025/09,-,-,-,-
1605 華新,2025/09,"5,258",0,0.12,13.82
1606 歌林,2025/09,-,-,-,-
1608 華榮,2025/09,562,0,0.09,5.79
1609 大亞,2025/09,"1,909",0,0.24,-5.41
1611 中電,2025/09,-,-,-,-
1612 宏泰,2025/09,525,0,0.17,1.46
1613 台一,2025/09,-,-,-,-
1614 三洋電,2025/09,-,-,-,-
1615 大山,2025/09,13,0,0.01,-3.1
1616 億泰,2025/09,392,0,0.2,-7.92
1617 榮星,2025/09,-,-,-,-
1618 合機,2025/09,-,-,-,-
1626 艾美特-KY,2025/09,-,-,-,-
1701 中化,2025/09,-,-,-,-
1702 南僑,2025/09,-,-,-,-
1704 榮化,2025/09,-,-,-,-
1707 葡萄王,2025/09,231,0,0.16,0.78
1708 東鹼,2025/09,100,0,0.04,-3.31
1709 和益,2025/09,-,-,-,-
1710 東聯,2025/09,-,-,-,-
1711 永光,2025/09,-,-,-,-
1712 興農,2025/09,487,0,0.12,4.61
1713 國化,2025/09,-,-,-,-
1714 和桐,2025/09,-,-,-,-
1715 萬洲,2025/09,-,-,-,-
1715A 亞甲特,2025/09,-,-,-,-
1716 永信藥品,2025/09,-,-,-,-
1717 長興,2025/09,"1,548",0,0.13,-7.19
1718 中纖,2025/09,-,-,-,-
1720 生達,2025/09,168,0,0.09,0.71
1721 三晃,2025/09,-,-,-,-
