Current,,,,,,,,,
,,,,,,,,,
基金名稱,年月,標的碼,標的名稱,投資股數(千股),投資比率％,投資金額(千元),持股數/流通在外股數%,個股月報酬率％,ISIN
0002 第一金福元,2025/11,-,-,-,-,-,-,-,-
0003 匯豐成長,2025/11,-,-,-,-,-,-,-,-
0006 荷銀鴻福,2025/11,-,-,-,-,-,-,-,-
0009 建弘廣福,2025/11,-,-,-,-,-,-,-,-
0011 景順和信,2025/11,-,-,-,-,-,-,-,-
0012 元大多元基金,2025/11,-,-,-,-,-,-,-,-
0016 保誠先鋒,2025/11,-,-,-,-,-,-,-,-
0019 萬國鑽石,2025/11,-,-,-,-,-,-,-,-
0020 保德信元富基金,2025/11,-,-,-,-,-,-,-,-
0024 保誠元滿,2025/11,-,-,-,-,-,-,-,-
0026 聯博概念,2025/11,-,-,-,-,-,-,-,-
0027 元大中國,2025/11,-,-,-,-,-,-,-,-
0030 富鼎基金,2025/11,-,-,-,-,-,-,-,-
0050 元大台灣50,2025/11,-,-,-,-,-,-,-,-
0051 元大中型100,2025/11,-,-,-,-,-,-,-,-
0052 富邦科技,2025/11,2317,鴻海,"10,683",5.43,"2,408,951",0.08,-12.4272,TW0002317005
0052 富邦科技,2025/11,2330,台積電,"21,347",69.29,"30,739,632",0.08,-3.9998,TW0002330008
0052 富邦科技,2025/11,2382,廣達,"2,313",1.47,"652,147",0.06,-6.1564,TW0002382009
0052 富邦科技,2025/11,2454,聯發科,"1,288",4.05,"1,796,731",0.08,6.4885,TW0002454006
0052 富邦科技,2025/11,3711,日月光投控,"2,880",1.49,"661,020",0.06,-7.2725,TW0003711008
0052 富邦科技,2025/11,M2300,電子工業,-,81.73,"36,258,481",-,-3.1657,
0052 富邦科技,2025/11,MTSE,國內上市,-,81.73,"36,258,481",-,-2.1495,
0052 富邦科技,2025/11,TT99,基金總規模,-,-,"44,363,736",-,-,
0053 元大電子,2025/11,-,-,-,-,-,-,-,-
0054 元大台商50,2025/11,-,-,-,-,-,-,-,-
0055 元大MSCI金融,2025/11,-,-,-,-,-,-,-,-
0056 元大高股息,2025/11,-,-,-,-,-,-,-,-
0057 富邦摩台,2025/11,2308,台達電,9,2.88,"7,994",0,-6.3316,TW0002308004
0057 富邦摩台,2025/11,2317,鴻海,55,4.5,"12,490",0,-12.4272,TW0002317005
0057 富邦摩台,2025/11,2330,台積電,109,56.5,"156,819",0,-3.9998,TW0002330008
0057 富邦摩台,2025/11,2454,聯發科,7,3.37,"9,354",0,6.4885,TW0002454006
0057 富邦摩台,2025/11,2881,富邦金,37,1.24,"3,442",0,1.5352,TW0002881000
0057 富邦摩台,2025/11,M2300,電子工業,-,67.25,"186,656",-,-3.1657,
0057 富邦摩台,2025/11,M2800,金融業(合計),-,1.24,"3,442",-,1.1873,
0057 富邦摩台,2025/11,MTSE,國內上市,-,68.49,"190,098",-,-2.1495,
0057 富邦摩台,2025/11,TT99,基金總規模,-,-,"277,555",-,-,
0058 富邦發達,2025/11,-,-,-,-,-,-,-,-
0059 富邦金融,2025/11,-,-,-,-,-,-,-,-
0060 新台灣,2025/11,-,-,-,-,-,-,-,-
0061 元大寶滬深,2025/11,-,-,-,-,-,-,-,-
006201 元大富櫃50,2025/11,-,-,-,-,-,-,-,-
006203 元大MSCI台灣,2025/11,-,-,-,-,-,-,-,-
006204 永豐臺灣加權,2025/11,1303,南亞,110,3.09,"6,490",0,42.1689,TW0001303006
006204 永豐臺灣加權,2025/11,2308,台達電,8,3.34,"7,015",0,-6.3316,TW0002308004
006204 永豐臺灣加權,2025/11,2317,鴻海,36,3.88,"8,150",0,-12.4272,TW0002317005
006204 永豐臺灣加權,2025/11,2330,台積電,57,39.39,"82,735",0,-3.9998,TW0002330008
006204 永豐臺灣加權,2025/11,2454,聯發科,5,3.08,"6,469",0,6.4885,TW0002454006
006204 永豐臺灣加權,2025/11,M1300,塑膠工業,-,3.09,"6,490",-,21.9618,
006204 永豐臺灣加權,2025/11,M2300,電子工業,-,49.69,"104,370",-,-3.1657,
006204 永豐臺灣加權,2025/11,MTSE,國內上市,-,52.78,"110,860",-,-2.1495,
006204 永豐臺灣加權,2025/11,TT99,基金總規模,-,-,"210,042",-,-,
006205 富邦上証,2025/11,-,-,-,-,-,-,-,-
006206 元大上證50,2025/11,-,-,-,-,-,-,-,-
006207 復華滬深,2025/11,-,-,-,-,-,-,-,-
006208 富邦台50,2025/11,2308,台達電,"9,177",3.15,"8,552,731",0.35,-6.3316,TW0002308004
006208 富邦台50,2025/11,2317,鴻海,"58,036",4.82,"13,087,035",0.41,-12.4272,TW0002317005
006208 富邦台50,2025/11,2330,台積電,"116,299",61.68,"167,470,611",0.45,-3.9998,TW0002330008
006208 富邦台50,2025/11,2454,聯發科,"6,987",3.59,"9,747,398",0.44,6.4885,TW0002454006
006208 富邦台50,2025/11,2881,富邦金,"39,584",1.35,"3,665,456",0.28,1.5352,TW0002881000
006208 富邦台50,2025/11,M2300,電子工業,-,73.24,"198,857,775",-,-3.1657,
006208 富邦台50,2025/11,M2800,金融業(合計),-,1.35,"3,665,456",-,1.1873,
006208 富邦台50,2025/11,MTSE,國內上市,-,74.59,"202,523,231",-,-2.1495,
006208 富邦台50,2025/11,TT99,基金總規模,-,-,"271,515,258",-,-,
00631L 元大台灣50正2,2025/11,-,-,-,-,-,-,-,-
00633L 富邦上証正2,2025/11,-,-,-,-,-,-,-,-
00634R 富邦上証反1,2025/11,-,-,-,-,-,-,-,-
00636 國泰中國A50,2025/11,-,-,-,-,-,-,-,-
00637L 元大滬深300正2,2025/11,-,-,-,-,-,-,-,-
00639 富邦深100,2025/11,-,-,-,-,-,-,-,-
00640L 富邦日本正2,2025/11,-,-,-,-,-,-,-,-
00643 群益深証中小,2025/11,-,-,-,-,-,-,-,-
00645 富邦日本,2025/11,-,-,-,-,-,-,-,-
00646 元大S&P500,2025/11,-,-,-,-,-,-,-,-
00649 FH香港,2025/11,-,-,-,-,-,-,-,-
00652 富邦印度,2025/11,-,-,-,-,-,-,-,-
00653L 富邦印度正2,2025/11,-,-,-,-,-,-,-,-
00654R 富邦印度反1,2025/11,-,-,-,-,-,-,-,-
00655L 國泰中國A50正2,2025/11,-,-,-,-,-,-,-,-
00656R 國泰中國A50反1,2025/11,-,-,-,-,-,-,-,-
00657 國泰日經225,2025/11,-,-,-,-,-,-,-,-
00658L 國泰日本正2,2025/11,-,-,-,-,-,-,-,-
00660 元大歐洲50,2025/11,-,-,-,-,-,-,-,-
00661 元大日經225,2025/11,-,-,-,-,-,-,-,-
00662 富邦NASDAQ,2025/11,-,-,-,-,-,-,-,-
00665L 富邦恆生國企正2,2025/11,-,-,-,-,-,-,-,-
00667 元大韓國,2025/11,-,-,-,-,-,-,-,-
00668 國泰美國道瓊,2025/11,-,-,-,-,-,-,-,-
00669R 國泰美國道瓊反1,2025/11,-,-,-,-,-,-,-,-
00670L 富邦NASDAQ正2,2025/11,-,-,-,-,-,-,-,-
00671R 富邦NASDAQ反1,2025/11,-,-,-,-,-,-,-,-
00675L 富邦臺灣加權正2,2025/11,-,-,-,-,-,-,-,-
00676R 富邦臺灣加權反1,2025/11,-,-,-,-,-,-,-,-
00678 群益那斯達克生技,2025/11,-,-,-,-,-,-,-,-
00686R 群益臺灣加權反1,2025/11,-,-,-,-,-,-,-,-
00690 兆豐臺灣藍籌30,2025/11,2308,台達電,336,9.41,"313,472",0.01,-6.3316,TW0002308004
00690 兆豐臺灣藍籌30,2025/11,2330,台積電,779,33.66,"1,121,304",0,-3.9998,TW0002330008
00690 兆豐臺灣藍籌30,2025/11,2345,智邦,106,3.27,"108,932",0.02,-5.0926,TW0002345006
00690 兆豐臺灣藍籌30,2025/11,2454,聯發科,241,10.08,"335,792",0.02,6.4885,TW0002454006
00690 兆豐臺灣藍籌30,2025/11,2881,富邦金,"1,612",4.48,"149,241",0.01,1.5352,TW0002881000
00690 兆豐臺灣藍籌30,2025/11,M2300,電子工業,-,56.42,"1,879,501",-,-3.1657,
00690 兆豐臺灣藍籌30,2025/11,M2800,金融業(合計),-,4.48,"149,241",-,1.1873,
00690 兆豐臺灣藍籌30,2025/11,MTSE,國內上市,-,60.9,"2,028,741",-,-2.1495,
00690 兆豐臺灣藍籌30,2025/11,TT99,基金總規模,-,-,"3,331,267",-,-,
00692 富邦公司治理,2025/11,2308,台達電,"1,440",3.66,"1,342,519",0.06,-6.3316,TW0002308004
00692 富邦公司治理,2025/11,2317,鴻海,"7,710",4.74,"1,738,672",0.06,-12.4272,TW0002317005
00692 富邦公司治理,2025/11,2330,台積電,"14,356",56.36,"20,673,323",0.06,-3.9998,TW0002330008
00692 富邦公司治理,2025/11,2454,聯發科,883,3.36,"1,232,476",0.06,6.4885,TW0002454006
00692 富邦公司治理,2025/11,2881,富邦金,"7,724",1.95,"715,276",0.06,1.5352,TW0002881000
00692 富邦公司治理,2025/11,M2300,電子工業,-,68.12,"24,986,991",-,-3.1657,
00692 富邦公司治理,2025/11,M2800,金融業(合計),-,1.95,"715,276",-,1.1873,
00692 富邦公司治理,2025/11,MTSE,國內上市,-,70.07,"25,702,267",-,-2.1495,
00692 富邦公司治理,2025/11,TT99,基金總規模,-,-,"36,680,844",-,-,
00700 富邦恆生國企,2025/11,-,-,-,-,-,-,-,-
00701 國泰股利精選30,2025/11,2303,聯電,"8,240",6.09,"377,402",0.07,-1.293,TW0002303005
00701 國泰股利精選30,2025/11,2412,中華電,"3,557",7.49,"464,161",0.05,-0.3817,TW0002412004
00701 國泰股利精選30,2025/11,2881,富邦金,"7,114",10.63,"658,749",0.05,1.5352,TW0002881000
00701 國泰股利精選30,2025/11,2882,國泰金,"6,825",7.07,"438,133",0.05,0.3123,TW0002882008
00701 國泰股利精選30,2025/11,2891,中信金,"12,480",8.75,"542,244",0.06,3.8231,TW0002891009
00701 國泰股利精選30,2025/11,M2300,電子工業,-,13.58,"841,563",-,-3.1657,
00701 國泰股利精選30,2025/11,M2800,金融業(合計),-,26.45,"1,639,126",-,1.1873,
00701 國泰股利精選30,2025/11,MTSE,國內上市,-,40.03,"2,480,689",-,-2.1495,
00701 國泰股利精選30,2025/11,TT99,基金總規模,-,-,"6,197,076",-,-,
