Current,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
基金碼,年/月,基金淨資產,A1手續費,手續費率,A2交易稅,交易稅率,A3 ETF申購買回交易費,ETF申購買回交易費率,直接交易成本(A1+A2-A3),直接交易成本率,B1經理費,經理費率,B2保管費,保管費率,B3保證費,保證費率,B4其他費用,其他費用率,費用合計(B1+..+B4),費用率,成本+費用總計
0002 第一金福元,2025/12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0003 匯豐成長,2025/12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0006 荷銀鴻福,2025/12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0007 匯豐成龍,2025/12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0009 建弘廣福,2025/12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0010 兆豐國際萬寶,2025/12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0011 景順和信,2025/12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0012 元大多元基金,2025/12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0016 保誠先鋒,2025/12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0019 萬國鑽石,2025/12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0020 保德信元富基金,2025/12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0024 保誠元滿,2025/12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0026 聯博概念,2025/12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0027 元大中國,2025/12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0030 富鼎基金,2025/12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0050 元大台灣50,2025/12,"981,006,517",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0051 元大中型100,2025/12,"2,108,405",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0052 富邦科技,2025/12,"48,457,558",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0053 元大電子,2025/12,"671,736",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0054 元大台商50,2025/12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0055 元大MSCI金融,2025/12,"2,403,818",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0056 元大高股息,2025/12,"512,056,108",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0057 富邦摩台,2025/12,"276,952",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0058 富邦發達,2025/12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0059 富邦金融,2025/12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0060 新台灣,2025/12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0061 元大寶滬深,2025/12,"2,763,579",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
006201 元大富櫃50,2025/12,"412,021",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
006202 寶富盈,2025/12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
006203 元大MSCI台灣,2025/12,"1,160,457",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
006204 永豐臺灣加權,2025/12,"212,260",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
006205 富邦上証,2025/12,"4,535,450",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
006206 元大上證50,2025/12,"1,208,649",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
006207 復華滬深,2025/12,"756,796",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
006208 富邦台50,2025/12,"274,033,815",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00631L 元大台灣50正2,2025/12,"38,265,362",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00632R 元大台灣50反1,2025/12,"33,549,333",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00633L 富邦上証正2,2025/12,"8,753,512",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00634R 富邦上証反1,2025/12,"156,046",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00635U 期元大S&P黃金,2025/12,"10,048,650",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00636 國泰中國A50,2025/12,"3,889,267",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00637L 元大滬深300正2,2025/12,"22,740,445",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00638R 元大滬深300反1,2025/12,"237,778",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00639 富邦深100,2025/12,"2,157,818",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00640L 富邦日本正2,2025/12,"807,375",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00641R 富邦日本反1,2025/12,"365,681",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00642U 期元大S&P石油,2025/12,"3,032,140",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00643 群益深証中小,2025/12,"1,628,314",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00645 富邦日本,2025/12,"2,352,549",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00646 元大S&P500,2025/12,"32,050,632",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00647L 元大S&P500正2,2025/12,"864,112",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00648R 元大S&P500反1,2025/12,"752,597",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00649 FH香港,2025/12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00650L 復華香港正 2,2025/12,"2,549,921",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00651R 復華香港反 1,2025/12,"193,167",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00652 富邦印度,2025/12,"3,582,901",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00653L 富邦印度正2,2025/12,"1,028,075",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00654R 富邦印度反1,2025/12,"127,576",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00655L 國泰中國A50正2,2025/12,"3,287,926",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00656R 國泰中國A50反1,2025/12,"125,325",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00657 國泰日經225,2025/12,"412,931",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00658L 國泰日本正2,2025/12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00659R 國泰日本反1,2025/12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00660 元大歐洲50,2025/12,"313,016",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00661 元大日經225,2025/12,"1,697,075",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00662 富邦NASDAQ,2025/12,"61,610,173",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00663L 國泰臺灣加權正2,2025/12,"4,949,538",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00664R 國泰臺灣加權反1,2025/12,"2,080,691",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00665L 富邦恆生國企正2,2025/12,"5,281,927",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00666R 富邦恆生國企反1,2025/12,"134,118",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00667 元大韓國,2025/12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00668 國泰美國道瓊,2025/12,"626,642",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00669R 國泰美國道瓊反1,2025/12,"1,296,010",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00670L 富邦NASDAQ正2,2025/12,"13,895,377",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00671R 富邦NASDAQ反1,2025/12,"1,836,454",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00672L 元大S&P原油正2,2025/12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00673R 期元大S&P原油反1,2025/12,"2,252,780",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00674R 期元大S&P黃金反1,2025/12,"553,640",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00675L 富邦臺灣加權正2,2025/12,"16,075,346",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00676R 富邦臺灣加權反1,2025/12,"1,166,760",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00677U 富邦VIX,2025/12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00678 群益那斯達克生技,2025/12,"273,871",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00679B 元大美債20年,2025/12,"242,156,308",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00680L 元大美債20正2,2025/12,"23,377,773",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00681R 元大美債20反1,2025/12,"155,873",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00682U 期元大美元指數,2025/12,"156,440",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00683L 期元大美元指正2,2025/12,"284,810",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00684R 期元大美元指反1,2025/12,"142,590",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00685L 群益臺灣加權正2,2025/12,"3,121,226",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00686R 群益臺灣加權反1,2025/12,"247,989",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00687B 國泰20年美債,2025/12,"199,149,540",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00687C 國泰20年美債+U,2025/12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00688L 國泰20年美債正2,2025/12,"10,259,224",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00689R 國泰20年美債反1,2025/12,"147,199",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00690 兆豐臺灣藍籌30,2025/12,"3,363,393",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00691R 兆豐藍籌30反1,2025/12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00692 富邦公司治理,2025/12,"36,993,890",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00693U 期街口S&P黃豆,2025/12,"2,412,030",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00694B 富邦美債1-3,2025/12,"7,231,478",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00695B 富邦美債7-10,2025/12,"1,473,684",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00696B 富邦美債20年,2025/12,"27,914,384",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00697B 元大美債7-10,2025/12,"2,498,869",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00698L 元大美債 7-10正2,2025/12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00699R 元大美債 7-10反1,2025/12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00700 富邦恆生國企,2025/12,"1,010,453",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00701 國泰股利精選30,2025/12,"6,250,278",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00702 國泰標普低波高息,2025/12,"156,845",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00703 台新MSCI中國,2025/12,"255,653",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00704L 台新MSCI台灣正2,2025/12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00705R 台新MSCI台灣反1,2025/12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00706L 期元大S&P日圓正2,2025/12,"4,272,210",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00707R 期元大S&P日圓反1,2025/12,"183,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00708L 期元大S&P黃金正2,2025/12,"8,042,700",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00709 富邦歐洲,2025/12,"584,011",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00710B 復華彭博非投等債,2025/12,"3,913,268",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00711B 復華彭博新興債,2025/12,"16,644,806",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00712 復華富時不動產,2025/12,"45,100,648",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00713 元大台灣高息低波,2025/12,"135,544,669",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00714 群益道瓊美國地產,2025/12,"556,311",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
